id,text_snippet,labels
1,love analytics competitorx cheaper subscription,"Positive, Pricing Discussion, Objection, Competition"
2,compliance team worried data handling soc2 certified,Security
3,ai engine impressive need better discount longterm commitment,"Pricing Discussion, Objection"
4,cybersecurity compare rivalas offering,"Security, Competition"
5,cloud integration great renewal cost high,"Pricing Discussion, Objection"
6,concerned data privacy platform clarify,Security
7,competitory offer flexible pricing model match,"Pricing Discussion, Competition"
8,automation feature fantastic need volume discount,"Positive, Pricing Discussion, Objection"
9,platform support blockchain integration industry,Security
10,evaluating marketleader1 well differentiate,Competition
11,freemium model appealing need customization option,"Pricing Discussion, Objection"
12,handle iot connectivity compared challengerb,"Competition, Security"
13,api access excellent onetime fee dealbreaker,"Positive, Pricing Discussion, Objection"
14,need solution complies gdpr guarantee,Security
15,contenderc offer better price guarantee improve offer,"Pricing Discussion, Competition"
16,multilanguage support big plus subscription plan expensive,"Positive, Pricing Discussion, Objection"
17,platform ensure cybersecurity sensitive data,Security
18,emergingstartup2 attractive early bird offer compete,"Pricing Discussion, Competition"
19,worried hidden cost pricing model,"Pricing Discussion, Objection"
20,user management great need better enterprise licensing deal,"Positive, Pricing Discussion, Objection"
21,handle regulatory compliance healthcare industry,Security
22,disruptor3 robust data pipeline compare,Competition
23,analytics topnotch need tiered pricing option,"Positive, Pricing Discussion, Objection"
24,provide servicelevel agreement sla uptime guarantee,Security
25,competitorz offer payasyougo model something similar,"Pricing Discussion, Competition"
26,concerned lack iot connectivity platform,"Security, Objection"
27,platform great need discount bulk usage,"Positive, Pricing Discussion, Objection"
28,ensure data privacy government client,Security
29,marketleader1 stronger brand presence compete,Competition
30,customization option excellent pricing high,"Positive, Pricing Discussion, Objection"
31,explain platform handle cybersecurity threat,Security
32,rivala offer better subscription plan adjust,"Pricing Discussion, Competition"
33,impressed ai engine budget concern,"Positive, Pricing Discussion, Objection"
34,handle supply chain management platform,Security
35,challengerb attractive pricing model match,"Pricing Discussion, Competition"
36,platform good need clarity hidden cost,"Pricing Discussion, Objection"
37,ensure compliance industryspecific regulation,Security
38,competitorx offer better multilanguage support improve,Competition
39,analytics great need better price guarantee,"Positive, Pricing Discussion, Objection"
40,provide detail cybersecurity certification,Security
41,platform impressive need discount longterm use,"Positive, Pricing Discussion, Objection"
42,compare disruptor3 term data pipeline efficiency,Competition
43,concerned lack blockchain integration platform,"Security, Objection"
44,pricing model unclear provide detail,"Pricing Discussion, Objection"
45,handle user experience remote work adaptation,Security
46,competitory better freemium model adjust,"Pricing Discussion, Competition"
47,ai engine fantastic need better enterprise licensing deal,"Positive, Pricing Discussion, Objection"
48,explain platform ensures data privacy,Security
49,emergingstartup2 offer attractive tiered pricing model match,"Pricing Discussion, Competition"
50,platform great need better early bird offer,"Positive, Pricing Discussion, Objection"
51,handle regulatory compliance finance industry,Security
52,contenderc robust cloud integration compare,Competition
53,analytics excellent need better subscription plan,"Positive, Pricing Discussion, Objection"
54,provide detail cybersecurity measure,Security
55,competitorz offer better payasyougo model adjust,"Pricing Discussion, Competition"
56,concerned lack iot connectivity platform,"Security, Objection"
57,platform great need discount bulk usage,"Positive, Pricing Discussion, Objection"
58,ensure data privacy government client,Security
59,marketleader1 stronger brand presence compete,Competition
60,customization option excellent pricing high,"Positive, Pricing Discussion, Objection"
61,explain platform handle cybersecurity threat,Security
62,rivala offer better subscription plan adjust,"Pricing Discussion, Competition"
63,impressed ai engine budget concern,"Positive, Pricing Discussion, Objection"
64,handle supply chain management platform,Security
65,challengerb attractive pricing model match,"Pricing Discussion, Competition"
66,platform good need clarity hidden cost,"Pricing Discussion, Objection"
67,ensure compliance industryspecific regulation,Security
68,competitorx offer better multilanguage support improve,Competition
69,analytics great need better price guarantee,"Positive, Pricing Discussion, Objection"
70,provide detail cybersecurity certification,Security
71,platform impressive need discount longterm use,"Positive, Pricing Discussion, Objection"
72,compare disruptor3 term data pipeline efficiency,Competition
73,concerned lack blockchain integration platform,"Security, Objection"
74,pricing model unclear provide detail,"Pricing Discussion, Objection"
75,handle user experience remote work adaptation,Security
76,competitory better freemium model adjust,"Pricing Discussion, Competition"
77,ai engine fantastic need better enterprise licensing deal,"Positive, Pricing Discussion, Objection"
78,explain platform ensures data privacy,Security
79,emergingstartup2 offer attractive tiered pricing model match,"Pricing Discussion, Competition"
80,platform great need better early bird offer,"Positive, Pricing Discussion, Objection"
81,handle regulatory compliance finance industry,Security
82,contenderc robust cloud integration compare,Competition
83,analytics excellent need better subscription plan,"Positive, Pricing Discussion, Objection"
84,provide detail cybersecurity measure,Security
85,competitorz offer better payasyougo model adjust,"Pricing Discussion, Competition"
86,concerned lack iot connectivity platform,"Security, Objection"
87,platform great need discount bulk usage,"Positive, Pricing Discussion, Objection"
88,ensure data privacy government client,Security
89,marketleader1 stronger brand presence compete,Competition
90,customization option excellent pricing high,"Positive, Pricing Discussion, Objection"
91,explain platform handle cybersecurity threat,Security
92,rivala offer better subscription plan adjust,"Pricing Discussion, Competition"
93,impressed ai engine budget concern,"Positive, Pricing Discussion, Objection"
94,handle supply chain management platform,Security
95,challengerb attractive pricing model match,"Pricing Discussion, Competition"
96,platform good need clarity hidden cost,"Pricing Discussion, Objection"
97,ensure compliance industryspecific regulation,Security
98,competitorx offer better multilanguage support improve,Competition
99,analytics great need better price guarantee,"Positive, Pricing Discussion, Objection"
100,provide detail cybersecurity certification,Security
101,platform impressive need discount longterm use,"Positive, Pricing Discussion, Objection"
102,compare disruptor3 term data pipeline efficiency,Competition
103,concerned lack blockchain integration platform,"Security, Objection"
104,pricing model unclear provide detail,"Pricing Discussion, Objection"
105,handle user experience remote work adaptation,Security
106,competitory better freemium model adjust,"Pricing Discussion, Competition"
107,ai engine fantastic need better enterprise licensing deal,"Positive, Pricing Discussion, Objection"
108,explain platform ensures data privacy,Security
109,emergingstartup2 offer attractive tiered pricing model match,"Pricing Discussion, Competition"
110,platform great need better early bird offer,"Positive, Pricing Discussion, Objection"
111,handle regulatory compliance finance industry,Security
112,contenderc robust cloud integration compare,Competition
113,analytics excellent need better subscription plan,"Positive, Pricing Discussion, Objection"
114,provide detail cybersecurity measure,Security
115,competitorz offer better payasyougo model adjust,"Pricing Discussion, Competition"
116,concerned lack iot connectivity platform,"Security, Objection"
117,platform great need discount bulk usage,"Positive, Pricing Discussion, Objection"
118,ensure data privacy government client,Security
119,marketleader1 stronger brand presence compete,Competition
120,customization option excellent pricing high,"Positive, Pricing Discussion, Objection"
121,explain platform handle cybersecurity threat,Security
122,rivala offer better subscription plan adjust,"Pricing Discussion, Competition"
123,impressed ai engine budget concern,"Positive, Pricing Discussion, Objection"
124,handle supply chain management platform,Security
125,challengerb attractive pricing model match,"Pricing Discussion, Competition"
126,platform good need clarity hidden cost,"Pricing Discussion, Objection"
127,ensure compliance industryspecific regulation,Security
128,competitorx offer better multilanguage support improve,Competition
129,analytics great need better price guarantee,"Positive, Pricing Discussion, Objection"
130,provide detail cybersecurity certification,Security
131,platform impressive need discount longterm use,"Positive, Pricing Discussion, Objection"
132,compare disruptor3 term data pipeline efficiency,Competition
133,concerned lack blockchain integration platform,"Security, Objection"
134,pricing model unclear provide detail,"Pricing Discussion, Objection"
135,handle user experience remote work adaptation,Security
136,competitory better freemium model adjust,"Pricing Discussion, Competition"
137,ai engine fantastic need better enterprise licensing deal,"Positive, Pricing Discussion, Objection"
138,explain platform ensures data privacy,Security
139,emergingstartup2 offer attractive tiered pricing model match,"Pricing Discussion, Competition"
140,platform great need better early bird offer,"Positive, Pricing Discussion, Objection"
141,handle regulatory compliance finance industry,Security
142,contenderc robust cloud integration compare,Competition
143,analytics excellent need better subscription plan,"Positive, Pricing Discussion, Objection"
144,provide detail cybersecurity measure,Security
145,competitorz offer better payasyougo model adjust,"Pricing Discussion, Competition"
146,concerned lack iot connectivity platform,"Security, Objection"
147,platform great need discount bulk usage,"Positive, Pricing Discussion, Objection"
148,ensure data privacy government client,Security
