id,text_snippet,labels
1,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection, Competition"
2,"Our compliance team is worried about data handling. Are you SOC2 certified?","Security"
3,"The AI engine is impressive, but we need a better discount for long-term commitment.","Pricing Discussion, Objection"
4,"How does your cybersecurity compare to RivalA's offering?","Security, Competition"
5,"Your cloud integration is great, but the renewal cost is too high.","Pricing Discussion, Objection"
6,"We’re concerned about data privacy with your platform. Can you clarify?","Security"
7,"CompetitorY offers a more flexible pricing model. Can you match that?","Pricing Discussion, Competition"
8,"The automation features are fantastic, but we need a volume discount.","Positive, Pricing Discussion, Objection"
9,"Does your platform support blockchain integration for our industry?","Security"
10,"We’re evaluating MarketLeader1 as well. How do you differentiate?","Competition"
11,"The freemium model is appealing, but we need more customization options.","Pricing Discussion, Objection"
12,"How do you handle IoT connectivity compared to ChallengerB?","Competition, Security"
13,"Your API access is excellent, but the one-time fee is a dealbreaker.","Positive, Pricing Discussion, Objection"
14,"We need a solution that complies with GDPR. Can you guarantee that?","Security"
15,"ContenderC offers a better price guarantee. Can you improve your offer?","Pricing Discussion, Competition"
16,"The multi-language support is a big plus, but the subscription plan is too expensive.","Positive, Pricing Discussion, Objection"
17,"How does your platform ensure cybersecurity for sensitive data?","Security"
18,"EmergingStartup2 has a more attractive early bird offer. Can you compete?","Pricing Discussion, Competition"
19,"We’re worried about hidden costs in your pricing model.","Pricing Discussion, Objection"
20,"Your user management is great, but we need a better enterprise licensing deal.","Positive, Pricing Discussion, Objection"
21,"How do you handle regulatory compliance in the healthcare industry?","Security"
22,"Disruptor3 has a more robust data pipeline. How do you compare?","Competition"
23,"The analytics are top-notch, but we need a tiered pricing option.","Positive, Pricing Discussion, Objection"
24,"Can you provide a service-level agreement (SLA) for uptime guarantees?","Security"
25,"CompetitorZ offers a pay-as-you-go model. Do you have something similar?","Pricing Discussion, Competition"
26,"We’re concerned about the lack of IoT connectivity in your platform.","Security, Objection"
27,"Your platform is great, but we need a discount for bulk usage.","Positive, Pricing Discussion, Objection"
28,"How do you ensure data privacy for government clients?","Security"
29,"MarketLeader1 has a stronger brand presence. How do you compete?","Competition"
30,"The customization options are excellent, but the pricing is too high.","Positive, Pricing Discussion, Objection"
31,"Can you explain how your platform handles cybersecurity threats?","Security"
32,"RivalA offers a better subscription plan. Can you adjust yours?","Pricing Discussion, Competition"
33,"We’re impressed with your AI engine, but the budget is a concern.","Positive, Pricing Discussion, Objection"
34,"How do you handle supply chain management in your platform?","Security"
35,"ChallengerB has a more attractive pricing model. Can you match it?","Pricing Discussion, Competition"
36,"Your platform is good, but we need more clarity on hidden costs.","Pricing Discussion, Objection"
37,"How do you ensure compliance with industry-specific regulations?","Security"
38,"CompetitorX offers better multi-language support. Can you improve?","Competition"
